id_venta,fecha,producto,categoria,cantidad,precio_unitario,total_venta,metodo_pago,cliente_tipo,canal_venta,provincia,cluster
1,2024-05-05,Organizador de escritorio,Hogar,3,10.22,30.66,Transferencia,Nuevo,Tienda física,Azuay,2
2,2024-10-29,Organizador de escritorio,Hogar,1,18.81,18.81,Pago móvil,Nuevo,Tienda física,Tungurahua,0
3,2024-01-14,Cuchara de madera,Cocina,5,4.16,20.8,Transferencia,Frecuente,Instagram,Chimborazo,2
4,2024-03-22,Decoración de pared,Decoración,1,15.56,15.56,Pago móvil,Frecuente,WhatsApp,Pichincha,1
5,2024-02-22,Cuchara de madera,Cocina,3,7.79,23.37,Efectivo,Frecuente,Tienda física,Cotopaxi,2
6,2024-08-23,Bandeja de madera,Hogar,1,19.85,19.85,Efectivo,Frecuente,Tienda física,Guayas,0
7,2024-07-04,Bandeja de madera,Hogar,5,22.78,113.9,Transferencia,Nuevo,Tienda física,Azuay,0
8,2024-04-29,Cuchara de madera,Cocina,1,6.87,6.87,Efectivo,Frecuente,WhatsApp,Chimborazo,2
9,2024-07-08,Organizador de escritorio,Hogar,2,18.18,36.36,Tarjeta,Nuevo,WhatsApp,Azuay,0
10,2024-11-21,Organizador de escritorio,Hogar,5,16.13,80.65,Transferencia,Nuevo,Instagram,Chimborazo,1
11,2024-04-22,Porta vasos,Hogar,5,8.43,42.15,Tarjeta,Nuevo,Instagram,Tungurahua,2
12,2024-04-18,Bandeja de madera,Hogar,1,17.22,17.22,Tarjeta,Nuevo,Facebook Marketplace,Chimborazo,1
13,2024-03-12,Organizador de escritorio,Hogar,3,14.05,42.15,Transferencia,Frecuente,Facebook Marketplace,Guayas,1
14,2024-09-17,Porta vasos,Hogar,2,9.26,18.52,Pago móvil,Nuevo,Tienda física,Tungurahua,2
15,2024-11-01,Cuchara de madera,Cocina,4,6.14,24.56,Efectivo,Frecuente,Facebook Marketplace,Guayas,2
16,2024-01-06,Porta vasos,Hogar,5,10.76,53.8,Efectivo,Frecuente,WhatsApp,Tungurahua,1
17,2024-01-02,Bandeja de madera,Hogar,4,17.65,70.6,Tarjeta,Nuevo,Tienda física,Azuay,0
18,2024-11-07,Bandeja de madera,Hogar,5,22.94,114.7,Transferencia,Nuevo,WhatsApp,Pichincha,0
19,2024-01-01,Decoración de pared,Decoración,5,29.07,145.35,Tarjeta,Frecuente,Tienda física,Tungurahua,0
20,2024-05-02,Bandeja de madera,Hogar,3,23.42,70.26,Efectivo,Nuevo,Tienda física,Tungurahua,0
21,2024-09-29,Organizador de escritorio,Hogar,1,14.35,14.35,Transferencia,Nuevo,Facebook Marketplace,Guayas,1
22,2024-08-04,Cuchara de madera,Cocina,5,4.33,21.65,Transferencia,Nuevo,WhatsApp,Chimborazo,2
23,2024-09-21,Organizador de escritorio,Hogar,4,16.15,64.6,Pago móvil,Nuevo,Instagram,Pichincha,1
24,2024-10-10,Tabla de cortar,Cocina,5,11.38,56.9,Transferencia,Nuevo,Tienda física,Tungurahua,1
25,2024-02-04,Organizador de escritorio,Hogar,2,15.94,31.88,Efectivo,Frecuente,Tienda física,Guayas,1
26,2024-04-19,Cuchara de madera,Cocina,4,4.39,17.56,Transferencia,Frecuente,Instagram,Chimborazo,2
27,2024-12-03,Porta vasos,Hogar,1,7.71,7.71,Pago móvil,Frecuente,Facebook Marketplace,Chimborazo,2
28,2024-12-10,Porta vasos,Hogar,1,13.77,13.77,Efectivo,Nuevo,Facebook Marketplace,Azuay,1
29,2024-05-07,Bandeja de madera,Hogar,1,22.41,22.41,Transferencia,Nuevo,Facebook Marketplace,Pichincha,0
30,2024-05-07,Porta vasos,Hogar,4,7.65,30.6,Efectivo,Frecuente,Tienda física,Tungurahua,2
31,2024-02-17,Organizador de escritorio,Hogar,1,19.99,19.99,Transferencia,Nuevo,Facebook Marketplace,Chimborazo,0
32,2024-01-31,Porta vasos,Hogar,4,7.92,31.68,Transferencia,Frecuente,Tienda física,Chimborazo,2
33,2024-05-26,Bandeja de madera,Hogar,4,24.04,96.16,Pago móvil,Frecuente,Instagram,Pichincha,0
34,2024-10-23,Bandeja de madera,Hogar,1,14.83,14.83,Efectivo,Frecuente,Tienda física,Tungurahua,1
35,2024-03-21,Decoración de pared,Decoración,5,19.54,97.7,Efectivo,Nuevo,Instagram,Tungurahua,0
36,2024-07-25,Decoración de pared,Decoración,2,11.36,22.72,Efectivo,Nuevo,Tienda física,Guayas,1
37,2024-10-16,Tabla de cortar,Cocina,5,12.19,60.95,Tarjeta,Frecuente,Instagram,Azuay,1
38,2024-07-21,Organizador de escritorio,Hogar,3,12.46,37.38,Transferencia,Frecuente,Facebook Marketplace,Cotopaxi,1
39,2024-10-15,Tabla de cortar,Cocina,5,8.09,40.45,Efectivo,Nuevo,Instagram,Guayas,2
40,2024-02-05,Bandeja de madera,Hogar,3,13.72,41.16,Transferencia,Frecuente,WhatsApp,Pichincha,1
41,2024-11-09,Porta vasos,Hogar,3,13.5,40.5,Efectivo,Frecuente,Tienda física,Pichincha,1
42,2024-10-10,Bandeja de madera,Hogar,1,13.5,13.5,Transferencia,Frecuente,WhatsApp,Guayas,1
43,2024-12-17,Cuchara de madera,Cocina,2,6.59,13.18,Tarjeta,Frecuente,WhatsApp,Tungurahua,2
44,2024-01-23,Tabla de cortar,Cocina,3,14.34,43.02,Efectivo,Frecuente,Instagram,Azuay,1
45,2024-10-09,Bandeja de madera,Hogar,4,14.1,56.4,Pago móvil,Nuevo,Tienda física,Tungurahua,1
46,2024-01-19,Organizador de escritorio,Hogar,5,18.94,94.7,Tarjeta,Nuevo,Facebook Marketplace,Pichincha,0
47,2024-07-02,Tabla de cortar,Cocina,1,11.08,11.08,Transferencia,Nuevo,Tienda física,Cotopaxi,1
48,2024-11-13,Decoración de pared,Decoración,4,27.68,110.72,Transferencia,Nuevo,Instagram,Pichincha,0
49,2024-07-29,Porta vasos,Hogar,3,6.22,18.66,Transferencia,Frecuente,Instagram,Azuay,2
50,2024-08-28,Tabla de cortar,Cocina,1,11.83,11.83,Transferencia,Nuevo,Facebook Marketplace,Cotopaxi,1
51,2024-04-24,Bandeja de madera,Hogar,2,22.67,45.34,Efectivo,Nuevo,Facebook Marketplace,Cotopaxi,0
52,2024-06-28,Bandeja de madera,Hogar,3,23.24,69.72,Pago móvil,Frecuente,Tienda física,Tungurahua,0
53,2024-01-20,Bandeja de madera,Hogar,3,14.32,42.96,Efectivo,Frecuente,WhatsApp,Azuay,1
54,2024-02-29,Bandeja de madera,Hogar,5,17.67,88.35,Pago móvil,Nuevo,WhatsApp,Tungurahua,0
55,2024-10-02,Organizador de escritorio,Hogar,5,13.8,69.0,Transferencia,Frecuente,Facebook Marketplace,Tungurahua,1
56,2024-06-09,Organizador de escritorio,Hogar,5,19.13,95.65,Efectivo,Frecuente,WhatsApp,Azuay,0
57,2024-10-10,Porta vasos,Hogar,3,8.94,26.82,Transferencia,Nuevo,Facebook Marketplace,Azuay,2
58,2024-11-11,Porta vasos,Hogar,2,12.1,24.2,Tarjeta,Frecuente,Tienda física,Cotopaxi,1
59,2024-11-06,Bandeja de madera,Hogar,5,14.73,73.65,Tarjeta,Frecuente,Facebook Marketplace,Chimborazo,1
60,2024-03-27,Organizador de escritorio,Hogar,4,11.35,45.4,Efectivo,Frecuente,WhatsApp,Tungurahua,1
61,2024-04-11,Cuchara de madera,Cocina,2,6.36,12.72,Transferencia,Nuevo,Tienda física,Pichincha,2
62,2024-08-21,Porta vasos,Hogar,1,11.5,11.5,Pago móvil,Nuevo,Facebook Marketplace,Chimborazo,1
63,2024-02-24,Porta vasos,Hogar,1,8.2,8.2,Pago móvil,Nuevo,Instagram,Azuay,2
64,2024-05-07,Decoración de pared,Decoración,5,19.29,96.45,Efectivo,Frecuente,Instagram,Chimborazo,0
65,2024-10-31,Organizador de escritorio,Hogar,5,14.84,74.2,Tarjeta,Frecuente,Facebook Marketplace,Guayas,1
66,2024-08-18,Porta vasos,Hogar,4,14.07,56.28,Tarjeta,Nuevo,WhatsApp,Guayas,1
67,2024-08-13,Porta vasos,Hogar,3,11.64,34.92,Efectivo,Frecuente,Instagram,Cotopaxi,1
68,2024-02-11,Bandeja de madera,Hogar,5,16.16,80.8,Transferencia,Nuevo,Instagram,Chimborazo,1
69,2024-02-02,Organizador de escritorio,Hogar,2,10.68,21.36,Pago móvil,Frecuente,WhatsApp,Guayas,1
70,2024-08-03,Porta vasos,Hogar,2,9.74,19.48,Pago móvil,Nuevo,Facebook Marketplace,Chimborazo,2
71,2024-07-18,Tabla de cortar,Cocina,3,17.43,52.29,Pago móvil,Nuevo,Facebook Marketplace,Pichincha,0
72,2024-07-18,Bandeja de madera,Hogar,1,17.67,17.67,Tarjeta,Frecuente,Instagram,Chimborazo,0
73,2024-01-14,Cuchara de madera,Cocina,5,7.9,39.5,Pago móvil,Nuevo,Tienda física,Azuay,2
74,2024-04-03,Porta vasos,Hogar,4,7.22,28.88,Efectivo,Frecuente,Facebook Marketplace,Cotopaxi,2
75,2024-07-13,Cuchara de madera,Cocina,3,5.27,15.81,Tarjeta,Frecuente,WhatsApp,Tungurahua,2
76,2024-01-27,Porta vasos,Hogar,5,6.17,30.85,Tarjeta,Nuevo,Tienda física,Azuay,2
77,2024-04-12,Tabla de cortar,Cocina,2,15.54,31.08,Efectivo,Nuevo,Instagram,Pichincha,1
78,2024-04-21,Porta vasos,Hogar,5,12.03,60.15,Pago móvil,Frecuente,WhatsApp,Pichincha,1
79,2024-03-24,Decoración de pared,Decoración,1,22.14,22.14,Tarjeta,Nuevo,Tienda física,Cotopaxi,0
80,2024-07-22,Decoración de pared,Decoración,4,23.55,94.2,Transferencia,Nuevo,Instagram,Tungurahua,0
81,2024-03-02,Organizador de escritorio,Hogar,5,17.5,87.5,Efectivo,Frecuente,Facebook Marketplace,Azuay,0
82,2024-01-07,Bandeja de madera,Hogar,3,12.9,38.7,Pago móvil,Frecuente,Tienda física,Chimborazo,1
83,2024-12-28,Bandeja de madera,Hogar,4,20.26,81.04,Transferencia,Frecuente,Instagram,Azuay,0
84,2024-11-11,Decoración de pared,Decoración,3,29.31,87.93,Pago móvil,Frecuente,Facebook Marketplace,Azuay,0
85,2024-02-14,Decoración de pared,Decoración,2,15.37,30.74,Tarjeta,Frecuente,Instagram,Chimborazo,1
86,2024-06-21,Decoración de pared,Decoración,4,22.21,88.84,Efectivo,Frecuente,WhatsApp,Pichincha,0
87,2024-06-23,Porta vasos,Hogar,3,7.91,23.73,Tarjeta,Frecuente,Tienda física,Guayas,2
88,2024-09-07,Cuchara de madera,Cocina,4,3.43,13.72,Transferencia,Frecuente,Facebook Marketplace,Chimborazo,2
89,2024-07-26,Tabla de cortar,Cocina,2,8.93,17.86,Transferencia,Frecuente,WhatsApp,Chimborazo,2
90,2024-10-08,Decoración de pared,Decoración,4,20.62,82.48,Tarjeta,Frecuente,Facebook Marketplace,Cotopaxi,0
91,2024-04-08,Bandeja de madera,Hogar,1,15.27,15.27,Tarjeta,Nuevo,Instagram,Pichincha,1
92,2024-10-28,Cuchara de madera,Cocina,3,6.69,20.07,Tarjeta,Nuevo,Instagram,Cotopaxi,2
93,2024-01-08,Cuchara de madera,Cocina,3,4.8,14.4,Transferencia,Frecuente,Tienda física,Tungurahua,2
94,2024-11-22,Decoración de pared,Decoración,2,15.84,31.68,Pago móvil,Nuevo,Tienda física,Guayas,1
95,2024-06-23,Bandeja de madera,Hogar,4,18.1,72.4,Transferencia,Nuevo,WhatsApp,Chimborazo,0
96,2024-09-08,Tabla de cortar,Cocina,4,16.22,64.88,Efectivo,Nuevo,Instagram,Pichincha,1
97,2024-05-07,Decoración de pared,Decoración,1,28.98,28.98,Efectivo,Frecuente,Instagram,Guayas,0
98,2024-06-01,Porta vasos,Hogar,4,10.05,40.2,Pago móvil,Frecuente,Tienda física,Guayas,2
99,2024-11-16,Organizador de escritorio,Hogar,2,10.09,20.18,Transferencia,Frecuente,Tienda física,Pichincha,2
100,2024-03-21,Cuchara de madera,Cocina,1,3.87,3.87,Efectivo,Frecuente,Facebook Marketplace,Azuay,2
101,2024-04-28,Decoración de pared,Decoración,1,19.4,19.4,Tarjeta,Frecuente,Facebook Marketplace,Tungurahua,0
102,2024-11-16,Organizador de escritorio,Hogar,3,11.57,34.71,Transferencia,Frecuente,Tienda física,Guayas,1
103,2024-03-13,Cuchara de madera,Cocina,3,6.24,18.72,Efectivo,Nuevo,Instagram,Cotopaxi,2
104,2024-05-27,Decoración de pared,Decoración,5,24.98,124.9,Pago móvil,Nuevo,Facebook Marketplace,Azuay,0
105,2024-09-13,Bandeja de madera,Hogar,3,21.1,63.3,Pago móvil,Frecuente,Tienda física,Guayas,0
106,2024-11-05,Tabla de cortar,Cocina,3,16.89,50.67,Tarjeta,Nuevo,Tienda física,Pichincha,1
107,2024-10-27,Organizador de escritorio,Hogar,5,18.2,91.0,Efectivo,Frecuente,Tienda física,Pichincha,0
108,2024-05-22,Porta vasos,Hogar,4,10.67,42.68,Transferencia,Frecuente,Facebook Marketplace,Tungurahua,1
109,2024-06-13,Porta vasos,Hogar,3,9.13,27.39,Efectivo,Nuevo,WhatsApp,Chimborazo,2
110,2024-10-08,Organizador de escritorio,Hogar,4,14.45,57.8,Efectivo,Frecuente,Tienda física,Cotopaxi,1
111,2024-09-20,Bandeja de madera,Hogar,4,16.2,64.8,Efectivo,Frecuente,Facebook Marketplace,Tungurahua,1
112,2024-09-12,Cuchara de madera,Cocina,5,5.59,27.95,Pago móvil,Nuevo,Instagram,Cotopaxi,2
113,2024-08-12,Decoración de pared,Decoración,3,12.62,37.86,Pago móvil,Nuevo,Tienda física,Azuay,1
114,2024-06-08,Decoración de pared,Decoración,2,25.99,51.98,Efectivo,Frecuente,Tienda física,Pichincha,0
115,2024-11-27,Tabla de cortar,Cocina,1,12.61,12.61,Transferencia,Frecuente,WhatsApp,Guayas,1
116,2024-08-29,Organizador de escritorio,Hogar,4,12.01,48.04,Transferencia,Frecuente,Instagram,Chimborazo,1
117,2024-03-10,Cuchara de madera,Cocina,5,7.61,38.05,Efectivo,Frecuente,Facebook Marketplace,Cotopaxi,2
118,2024-05-24,Decoración de pared,Decoración,1,15.34,15.34,Tarjeta,Frecuente,Instagram,Chimborazo,1
119,2024-10-09,Decoración de pared,Decoración,3,19.69,59.07,Pago móvil,Frecuente,WhatsApp,Pichincha,0
120,2024-04-29,Organizador de escritorio,Hogar,4,11.63,46.52,Pago móvil,Nuevo,WhatsApp,Azuay,1
121,2024-07-16,Porta vasos,Hogar,4,12.35,49.4,Transferencia,Frecuente,Tienda física,Pichincha,1
122,2024-02-21,Decoración de pared,Decoración,3,29.31,87.93,Pago móvil,Nuevo,Facebook Marketplace,Tungurahua,0
123,2024-02-08,Organizador de escritorio,Hogar,2,10.59,21.18,Pago móvil,Frecuente,WhatsApp,Guayas,1
124,2024-06-17,Organizador de escritorio,Hogar,1,13.37,13.37,Pago móvil,Frecuente,Facebook Marketplace,Guayas,1
125,2024-11-19,Tabla de cortar,Cocina,2,14.17,28.34,Tarjeta,Nuevo,Tienda física,Chimborazo,1
126,2024-08-15,Tabla de cortar,Cocina,1,15.6,15.6,Transferencia,Frecuente,Tienda física,Tungurahua,1
127,2024-07-02,Bandeja de madera,Hogar,3,22.35,67.05,Tarjeta,Frecuente,Instagram,Pichincha,0
128,2024-03-28,Decoración de pared,Decoración,2,18.24,36.48,Transferencia,Nuevo,Facebook Marketplace,Guayas,0
129,2024-03-14,Organizador de escritorio,Hogar,5,11.65,58.25,Transferencia,Frecuente,WhatsApp,Chimborazo,1
130,2024-05-27,Bandeja de madera,Hogar,4,20.67,82.68,Transferencia,Nuevo,Facebook Marketplace,Cotopaxi,0
131,2024-12-19,Decoración de pared,Decoración,4,15.98,63.92,Tarjeta,Frecuente,WhatsApp,Pichincha,1
132,2024-05-01,Porta vasos,Hogar,1,13.68,13.68,Pago móvil,Frecuente,WhatsApp,Azuay,1
133,2024-05-20,Bandeja de madera,Hogar,4,12.29,49.16,Efectivo,Nuevo,Facebook Marketplace,Cotopaxi,1
134,2024-04-22,Cuchara de madera,Cocina,3,6.04,18.12,Transferencia,Frecuente,Instagram,Azuay,2
135,2024-06-07,Tabla de cortar,Cocina,1,17.03,17.03,Pago móvil,Nuevo,WhatsApp,Azuay,1
136,2024-06-16,Cuchara de madera,Cocina,3,3.45,10.35,Pago móvil,Nuevo,Instagram,Pichincha,2
137,2024-09-28,Decoración de pared,Decoración,3,27.53,82.59,Tarjeta,Nuevo,WhatsApp,Chimborazo,0
138,2024-02-28,Bandeja de madera,Hogar,3,21.71,65.13,Pago móvil,Nuevo,Instagram,Pichincha,0
139,2024-10-12,Organizador de escritorio,Hogar,4,16.97,67.88,Tarjeta,Nuevo,Facebook Marketplace,Tungurahua,1
140,2024-07-07,Bandeja de madera,Hogar,4,18.98,75.92,Tarjeta,Frecuente,WhatsApp,Tungurahua,0
141,2024-11-13,Organizador de escritorio,Hogar,1,11.57,11.57,Tarjeta,Nuevo,Tienda física,Azuay,1
142,2024-11-28,Porta vasos,Hogar,3,14.18,42.54,Pago móvil,Nuevo,Instagram,Tungurahua,1
143,2024-02-29,Tabla de cortar,Cocina,4,11.04,44.16,Efectivo,Nuevo,Instagram,Chimborazo,1
144,2024-08-02,Porta vasos,Hogar,5,9.34,46.7,Transferencia,Frecuente,Tienda física,Chimborazo,2
145,2024-01-17,Decoración de pared,Decoración,3,18.16,54.48,Tarjeta,Nuevo,Facebook Marketplace,Chimborazo,0
146,2024-12-17,Cuchara de madera,Cocina,1,7.28,7.28,Tarjeta,Frecuente,Tienda física,Chimborazo,2
147,2024-08-20,Bandeja de madera,Hogar,1,14.47,14.47,Efectivo,Nuevo,Tienda física,Tungurahua,1
148,2024-10-16,Bandeja de madera,Hogar,2,15.17,30.34,Transferencia,Nuevo,Instagram,Guayas,1
149,2024-06-17,Cuchara de madera,Cocina,2,7.07,14.14,Transferencia,Nuevo,WhatsApp,Pichincha,2
150,2024-02-26,Cuchara de madera,Cocina,2,5.7,11.4,Efectivo,Nuevo,Tienda física,Cotopaxi,2
151,2024-03-30,Cuchara de madera,Cocina,1,5.94,5.94,Tarjeta,Nuevo,Instagram,Azuay,2
152,2024-08-31,Porta vasos,Hogar,1,10.73,10.73,Pago móvil,Frecuente,Tienda física,Chimborazo,1
153,2024-01-23,Decoración de pared,Decoración,5,14.43,72.15,Tarjeta,Frecuente,Tienda física,Tungurahua,1
154,2024-12-17,Porta vasos,Hogar,4,13.63,54.52,Efectivo,Frecuente,Facebook Marketplace,Tungurahua,1
155,2024-02-03,Tabla de cortar,Cocina,2,11.22,22.44,Transferencia,Frecuente,WhatsApp,Chimborazo,1
156,2024-09-15,Decoración de pared,Decoración,4,20.61,82.44,Pago móvil,Nuevo,Tienda física,Azuay,0
157,2024-04-20,Organizador de escritorio,Hogar,5,18.65,93.25,Pago móvil,Frecuente,Instagram,Chimborazo,0
158,2024-07-31,Bandeja de madera,Hogar,4,22.76,91.04,Efectivo,Frecuente,Facebook Marketplace,Cotopaxi,0
159,2024-12-17,Organizador de escritorio,Hogar,2,11.8,23.6,Pago móvil,Nuevo,Tienda física,Tungurahua,1
160,2024-03-07,Tabla de cortar,Cocina,3,12.32,36.96,Efectivo,Frecuente,Tienda física,Chimborazo,1
161,2024-01-27,Bandeja de madera,Hogar,4,23.36,93.44,Tarjeta,Frecuente,WhatsApp,Tungurahua,0
162,2024-12-02,Decoración de pared,Decoración,2,20.15,40.3,Pago móvil,Nuevo,Tienda física,Cotopaxi,0
163,2024-10-20,Decoración de pared,Decoración,3,17.35,52.05,Transferencia,Frecuente,Tienda física,Guayas,1
164,2024-01-15,Organizador de escritorio,Hogar,3,18.12,54.36,Transferencia,Frecuente,WhatsApp,Cotopaxi,0
165,2024-10-16,Bandeja de madera,Hogar,2,12.08,24.16,Pago móvil,Nuevo,Instagram,Azuay,1
166,2024-09-28,Organizador de escritorio,Hogar,1,19.69,19.69,Transferencia,Frecuente,Facebook Marketplace,Chimborazo,0
167,2024-06-15,Bandeja de madera,Hogar,3,14.05,42.15,Efectivo,Nuevo,Instagram,Pichincha,1
168,2024-05-19,Decoración de pared,Decoración,1,11.0,11.0,Pago móvil,Frecuente,Facebook Marketplace,Guayas,1
169,2024-09-19,Porta vasos,Hogar,2,9.73,19.46,Efectivo,Frecuente,Facebook Marketplace,Tungurahua,2
170,2024-09-06,Bandeja de madera,Hogar,5,20.82,104.1,Tarjeta,Nuevo,Instagram,Chimborazo,0
171,2024-06-03,Decoración de pared,Decoración,2,11.1,22.2,Transferencia,Nuevo,WhatsApp,Cotopaxi,1
172,2024-08-08,Bandeja de madera,Hogar,4,13.56,54.24,Transferencia,Nuevo,Facebook Marketplace,Guayas,1
173,2024-12-08,Organizador de escritorio,Hogar,5,11.53,57.65,Tarjeta,Nuevo,Facebook Marketplace,Azuay,1
174,2024-02-09,Tabla de cortar,Cocina,4,12.36,49.44,Tarjeta,Frecuente,Facebook Marketplace,Azuay,1
175,2024-07-26,Organizador de escritorio,Hogar,1,13.59,13.59,Efectivo,Frecuente,Instagram,Guayas,1
176,2024-02-15,Porta vasos,Hogar,3,13.49,40.47,Pago móvil,Nuevo,Instagram,Chimborazo,1
177,2024-07-21,Decoración de pared,Decoración,1,18.01,18.01,Tarjeta,Frecuente,Instagram,Cotopaxi,0
178,2024-09-28,Cuchara de madera,Cocina,1,3.38,3.38,Transferencia,Frecuente,WhatsApp,Azuay,2
179,2024-02-22,Organizador de escritorio,Hogar,2,17.97,35.94,Transferencia,Frecuente,Instagram,Pichincha,0
180,2024-03-31,Decoración de pared,Decoración,1,13.06,13.06,Pago móvil,Frecuente,Facebook Marketplace,Azuay,1
181,2024-06-14,Decoración de pared,Decoración,5,22.86,114.3,Tarjeta,Nuevo,Facebook Marketplace,Tungurahua,0
182,2024-05-20,Porta vasos,Hogar,3,9.98,29.94,Efectivo,Frecuente,Tienda física,Cotopaxi,2
183,2024-07-07,Porta vasos,Hogar,1,10.07,10.07,Tarjeta,Nuevo,Tienda física,Guayas,2
184,2024-10-24,Decoración de pared,Decoración,4,20.14,80.56,Efectivo,Frecuente,Instagram,Cotopaxi,0
185,2024-02-01,Decoración de pared,Decoración,2,19.51,39.02,Pago móvil,Nuevo,WhatsApp,Azuay,0
186,2024-01-21,Tabla de cortar,Cocina,2,13.05,26.1,Transferencia,Frecuente,Facebook Marketplace,Guayas,1
187,2024-07-09,Decoración de pared,Decoración,3,22.2,66.6,Tarjeta,Frecuente,Facebook Marketplace,Cotopaxi,0
188,2024-02-03,Organizador de escritorio,Hogar,3,15.58,46.74,Tarjeta,Nuevo,Facebook Marketplace,Cotopaxi,1
189,2024-03-17,Bandeja de madera,Hogar,5,21.41,107.05,Tarjeta,Nuevo,Instagram,Cotopaxi,0
190,2024-03-07,Bandeja de madera,Hogar,4,24.58,98.32,Efectivo,Frecuente,Facebook Marketplace,Azuay,0
191,2024-02-17,Bandeja de madera,Hogar,5,22.57,112.85,Pago móvil,Frecuente,Tienda física,Cotopaxi,0
192,2024-06-23,Bandeja de madera,Hogar,2,14.34,28.68,Pago móvil,Nuevo,Instagram,Pichincha,1
193,2024-09-16,Cuchara de madera,Cocina,1,3.39,3.39,Efectivo,Frecuente,Instagram,Guayas,2
194,2024-12-20,Porta vasos,Hogar,2,7.39,14.78,Transferencia,Frecuente,Tienda física,Chimborazo,2
195,2024-08-15,Bandeja de madera,Hogar,2,20.79,41.58,Tarjeta,Frecuente,Instagram,Guayas,0
196,2024-04-09,Cuchara de madera,Cocina,4,4.55,18.2,Tarjeta,Frecuente,Facebook Marketplace,Cotopaxi,2
197,2024-03-23,Porta vasos,Hogar,4,10.53,42.12,Transferencia,Nuevo,WhatsApp,Tungurahua,1
198,2024-10-10,Organizador de escritorio,Hogar,3,14.29,42.87,Efectivo,Nuevo,WhatsApp,Tungurahua,1
